name,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,hp,defense + hit,height_m,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,attack&defense,Total
Lotad,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,30,3840,70,220,255,Water Weed Pokémon,30,1059860,40,70,0.5,Lotad,50,270,40,50,30,water,grass,2.6,3,0,90,190
Tympole,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,294,255,Tadpole Pokémon,40,1059860,50,90,0.5,Tympole,50,535,50,40,64,water,,4.5,5,0,90,244
Cubone,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,320,190,Lonely Pokémon,95,1000000,50,145,0.4,Cubone,50,104,40,50,35,ground,,6.5,1,0,90,270
Tepig,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,63,5120,70,308,45,Fire Pig Pokémon,45,1059860,65,110,0.5,Tepig,88.1,498,45,45,45,fire,,9.9,5,0,90,245
Anorith,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,95,7680,70,355,45,Old Shrimp Pokémon,50,600000,45,95,0.7,Anorith,88.1,347,40,50,75,rock,bug,12.5,3,0,90,260
Trumbeak,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,3840,70,355,120,Bugle Beak Pokémon,50,1000000,55,105,0.6,Trumbeak,50,732,40,50,75,normal,flying,14.8,7,0,90,270
Trapinch,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,290,255,Ant Pit Pokémon,45,1059860,45,90,0.7,Trapinch,50,328,45,45,10,ground,,15,3,0,90,190
Deerling,2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5,60,5120,70,335,190,Season Pokémon,50,1000000,60,110,0.6,Deerling,50,585,40,50,75,normal,grass,19.5,5,0,90,275
Tyrunt,1,1,2,0.5,2,2,0.25,0.5,1,1,2,2,0.5,0.5,1,1,2,1,89,7680,70,362,45,Royal Heir Pokémon,77,1000000,58,135,0.8,Tyrunt,88.1,696,45,45,48,rock,dragon,26,6,0,90,273
Buizel,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,330,190,Sea Weasel Pokémon,35,1000000,55,90,0.7,Buizel,50,418,60,30,85,water,,29.5,4,0,90,265
Jangmo-o,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,55,10240,70,300,45,Scaly Pokémon,65,1250000,45,110,0.6,Jangmo-o,50,782,45,45,45,dragon,,29.7,7,0,90,245
Krokorok,2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2,82,5120,70,351,90,Desert Croc Pokémon,45,1059860,60,105,1,Krokorok,50,552,45,45,74,ground,dark,33.4,5,0,90,269
Fraxure,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,117,10240,35,410,60,Axe Jaw Pokémon,70,1250000,66,136,1,Fraxure,50,611,40,50,67,dragon,,36,5,0,90,293
Gurdurr,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,405,90,Muscular Pokémon,85,1059860,85,170,1.2,Gurdurr,75.4,533,40,50,40,fighting,,40,5,0,90,300
Boldore,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,105,3840,70,390,120,Ore Pokémon,105,1059860,70,175,0.9,Boldore,50,525,50,40,20,rock,,102,5,0,90,285
Rhydon,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,130,5120,70,485,60,Drill Pokémon,120,1250000,105,225,1.9,Rhydon,50,112,45,45,40,ground,rock,120,1,0,90,355
Avalugg,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,117,5120,70,514,55,Iceberg Pokémon,184,1000000,95,279,2,Avalugg,50,713,44,46,28,ice,,505,6,0,90,397
Sandslash,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,90,Mouse Pokémon,120,1000000,75,195,,Sandslash,50,28,25,65,65,ground,ice,,1,0,90,350
Meowth,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,255,Scratch Cat Pokémon,35,1000000,40,75,,Meowth,50,52,50,40,90,normal,dark,,1,0,90,255
Graveler,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,95,3840,70,390,120,Rock Pokémon,115,1059860,55,170,,Graveler,50,75,45,45,35,rock,ground,,1,0,90,295
Grimer,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,80,5120,70,325,190,Sludge Pokémon,50,1000000,80,130,,Grimer,50,88,40,50,25,poison,poison,,1,0,90,245
Wobbuffet,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,33,5120,70,405,45,Patient Pokémon,58,1000000,190,248,1.3,Wobbuffet,50,202,33,58,33,psychic,,28.5,2,0,91,372
Totodile,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,314,45,Big Jaw Pokémon,64,1059860,50,114,0.6,Totodile,88.1,158,44,48,43,water,,9.5,2,0,92,249
Tranquill,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,77,3840,70,358,120,Wild Pigeon Pokémon,62,1059860,62,124,0.6,Tranquill,50,520,50,42,65,normal,flying,15,5,0,92,281
Hoothoot,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,30,3840,70,262,255,Owl Pokémon,30,1000000,60,90,0.7,Hoothoot,50,163,36,56,50,normal,flying,21.2,2,0,92,232
Chespin,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,61,5120,70,313,45,Spiky Nut Pokémon,65,1059860,56,121,0.4,Chespin,88.1,650,48,45,38,grass,,9,6,0,93,252
Doublade,0.25,2,0.5,1,0.5,0,2,0.5,2,0.5,2,0.5,0,0,0.5,0.5,0.5,1,110,5120,70,448,90,Sword Pokémon,150,1000000,59,209,0.8,Doublade,50,680,45,49,35,steel,ghost,4.5,6,0,94,338
Ducklett,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,44,5120,70,305,190,Water Bird Pokémon,50,1000000,62,112,0.5,Ducklett,50,580,44,50,55,water,flying,5.5,5,0,94,261
Ekans,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,255,Snake Pokémon,44,1000000,35,79,2,Ekans,50,23,40,54,55,poison,,6.9,1,0,94,228
Pancham,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,82,6400,70,348,220,Playful Pokémon,62,1000000,67,129,0.6,Pancham,50,674,46,48,43,fighting,,8,6,0,94,266
Cutiefly,0.5,0.5,0,1,1,0.25,2,2,1,0.5,0.5,1,1,2,1,2,2,1,45,5120,70,304,190,Bee Fly Pokémon,40,1000000,40,80,0.1,Cutiefly,50,742,55,40,84,bug,fairy,0.2,7,0,95,259
Stufful,0.5,0.5,1,1,2,2,1,2,0,1,1,1,1,1,2,0.5,1,1,75,3840,70,340,140,Flailing Pokémon,50,1000000,70,120,0.5,Stufful,50,759,45,50,50,normal,fighting,6.8,7,0,95,265
Horsea,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,5120,70,295,225,Dragon Pokémon,70,1000000,30,100,0.4,Horsea,50,116,70,25,60,water,,8,1,0,95,255
Mareanie,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,53,5120,70,305,190,Brutal Star Pokémon,62,1000000,50,112,0.4,Mareanie,50,747,43,52,45,poison,water,8,7,0,95,252
Meditite,1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,40,5120,70,280,180,Meditate Pokémon,55,1000000,30,85,0.6,Meditite,50,307,40,55,60,fighting,psychic,11.2,3,0,95,240
Aipom,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,360,45,Long Tail Pokémon,55,800000,55,110,0.8,Aipom,50,190,40,55,85,normal,,11.5,2,0,95,290
Deino,2,0.5,2,0.5,4,2,0.5,1,0.5,0.5,1,2,1,1,0,1,1,0.5,65,10240,35,300,45,Irate Pokémon,50,1250000,52,102,0.8,Deino,50,633,45,50,38,dark,dragon,17.3,5,0,95,235
Beedrill,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,45,Poison Bee Pokémon,40,1000000,65,105,1,Beedrill,50,15,15,80,145,bug,poison,29.5,1,0,95,345
Venonat,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,190,Insect Pokémon,50,1000000,60,110,1,Venonat,50,48,40,55,45,bug,poison,30,1,0,95,250
Binacle,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,52,5120,70,306,120,Two-Handed Pokémon,67,1000000,42,109,0.5,Binacle,50,688,39,56,50,rock,water,31,6,0,95,254
Sudowoodo,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,100,5120,70,410,65,Imitation Pokémon,115,1000000,70,185,1.2,Sudowoodo,50,185,30,65,30,rock,,38,2,0,95,310
Larvitar,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,64,10240,35,300,45,Rock Skin Pokémon,50,1250000,50,100,0.6,Larvitar,50,246,45,50,41,rock,ground,72,2,0,95,236
Beldum,1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,55,10240,35,300,3,Iron Ball Pokémon,80,1250000,40,120,0.6,Beldum,,374,35,60,30,steel,psychic,95.2,3,0,95,245
Shuppet,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,75,6400,35,295,225,Puppet Pokémon,35,800000,44,79,0.6,Shuppet,50,353,63,33,45,ghost,,2.3,3,0,96,220
Ditto,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,5120,70,288,35,Transform Pokémon,48,1000000,48,96,0.3,Ditto,,132,48,48,48,normal,,4,1,0,96,240
Gulpin,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,43,5120,70,302,225,Stomach Pokémon,53,1640000,70,123,0.4,Gulpin,50,316,43,53,40,poison,,10.3,3,0,96,259
Durant,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,109,5120,70,484,90,Iron Ant Pokémon,112,1000000,58,170,0.3,Durant,50,632,48,48,109,bug,steel,33,5,0,96,375
Woobat,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,45,3840,70,323,190,Bat Pokémon,43,1000000,65,108,0.4,Woobat,50,527,55,43,72,psychic,flying,2.1,5,0,98,278
Tirtouga,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,78,7680,70,355,45,Prototurtle Pokémon,103,1000000,54,157,0.7,Tirtouga,88.1,564,53,45,22,water,rock,16.5,5,0,98,277
Pumpkaboo,1,2,1,0.5,1,0,2,2,2,0.5,0.5,2,0,1,1,1,1,0.5,66,5120,70,335,120,Pumpkin Pokémon,70,1000000,59,129,0.8,Pumpkaboo,50,710,44,55,41,ghost,grass,15,6,0,99,269
Rowlet,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,55,3840,70,320,45,Grass Quill Pokémon,55,1059860,68,123,0.3,Rowlet,88.1,722,50,50,42,grass,flying,1.5,7,0,100,265
Sewaddle,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,53,3840,70,310,255,Sewing Pokémon,70,1059860,45,115,0.3,Sewaddle,50,540,40,60,42,bug,grass,2.5,5,0,100,257
Cleffa,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,25,2560,140,218,150,Star Shape Pokémon,28,800000,50,78,0.3,Cleffa,24.6,173,45,55,15,fairy,,3,2,0,100,193
Dratini,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,64,10240,35,300,45,Dragon Pokémon,45,1250000,41,86,1.8,Dratini,50,147,50,50,50,dragon,,3.3,1,0,100,236
Bellsprout,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,5120,70,300,255,Flower Pokémon,35,1059860,50,85,0.7,Bellsprout,50,69,70,30,40,grass,poison,4,1,0,100,225
Litten,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,65,3840,70,320,45,Fire Cat Pokémon,40,1059860,45,85,0.4,Litten,88.1,725,60,40,70,fire,,4.3,7,0,100,255
Grubbin,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,62,3840,70,300,255,Larva Pokémon,45,1000000,47,92,0.4,Grubbin,50,736,55,45,46,bug,,4.4,7,0,100,238
Shroomish,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,3840,70,295,255,Mushroom Pokémon,60,1640000,60,120,0.4,Shroomish,50,285,40,60,35,grass,,4.5,3,0,100,255
Paras,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,5120,70,285,190,Mushroom Pokémon,55,1000000,35,90,0.3,Paras,50,46,45,55,25,bug,grass,5.4,1,0,100,215
Buneary,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,66,5120,0,350,190,Rabbit Pokémon,44,1000000,55,99,0.4,Buneary,50,427,44,56,85,normal,,5.5,4,0,100,284
Pikachu,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,190,Mouse Pokémon,40,1000000,35,75,0.4,Pikachu,50,25,50,50,90,electric,,6,1,0,100,265
Mudkip,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,5120,70,310,45,Mud Fish Pokémon,50,1059860,50,100,0.4,Mudkip,88.1,258,50,50,40,water,,7.6,3,0,100,240
Snivy,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5120,70,308,45,Grass Snake Pokémon,55,1059860,45,100,0.6,Snivy,88.1,495,45,55,63,grass,,8.1,5,0,100,263
Cubchoo,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,70,5120,70,305,120,Chill Pokémon,40,1000000,55,95,0.5,Cubchoo,50,613,60,40,40,ice,,8.5,5,0,100,235
Teddiursa,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,330,120,Little Bear Pokémon,50,1000000,60,110,0.6,Teddiursa,50,216,50,50,40,normal,,8.8,2,0,100,250
Turtwig,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,68,5120,70,318,45,Tiny Leaf Pokémon,64,1059860,55,119,0.4,Turtwig,88.1,387,45,55,31,grass,,10.2,4,0,100,250
Kabuto,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,80,7680,70,355,45,Shellfish Pokémon,90,1000000,30,120,0.5,Kabuto,88.1,140,55,45,55,rock,water,11.5,1,0,100,275
Remoraid,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,300,190,Jet Pokémon,35,1000000,35,70,0.6,Remoraid,50,223,65,35,65,water,,12,2,0,100,235
Ninjask,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,90,3840,70,456,120,Ninja Pokémon,45,600000,61,106,0.8,Ninjask,50,291,50,50,160,bug,flying,12,3,0,100,366
Herdier,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,3840,70,370,120,Loyal Dog Pokémon,65,1059860,65,130,0.9,Herdier,50,507,35,65,60,normal,,14.7,5,0,100,290
Vibrava,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,70,5120,70,340,120,Vibration Pokémon,50,1059860,50,100,1.1,Vibrava,50,329,50,50,70,ground,dragon,15.3,3,0,100,270
Snorunt,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,50,5120,70,300,190,Snow Hat Pokémon,50,1000000,50,100,0.7,Snorunt,50,361,50,50,50,ice,,16.8,3,0,100,250
Poliwhirl,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,385,120,Tadpole Pokémon,65,1059860,65,130,1,Poliwhirl,50,61,50,50,90,water,,20,1,0,100,320
Nuzleaf,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,70,3840,70,340,120,Wily Pokémon,40,1059860,70,110,1,Nuzleaf,50,274,60,40,60,grass,dark,28,3,0,100,270
Pidgeotto,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,349,120,Bird Pokémon,55,1059860,63,118,1.1,Pidgeotto,50,17,50,50,71,normal,flying,30,1,0,100,289
Furret,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,76,3840,70,415,90,Long Body Pokémon,64,1000000,85,149,1.8,Furret,50,162,45,55,90,normal,,32.5,2,0,100,339
Kingler,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,130,5120,70,475,60,Pincer Pokémon,115,1000000,55,170,1.3,Kingler,50,99,50,50,75,water,,60,1,0,100,345
Gligar,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,75,5120,70,430,60,Flyscorpion Pokémon,105,1059860,65,170,1.1,Gligar,50,207,35,65,85,ground,flying,64.8,2,0,100,355
Passimian,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,5120,70,490,45,Teamwork Pokémon,90,1250000,100,190,2,Passimian,50,766,40,60,80,fighting,,82.8,7,0,100,370
Mudbray,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,385,190,Donkey Pokémon,70,1000000,70,140,1,Mudbray,50,749,45,55,45,ground,,110,7,0,100,285
Lairon,0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,90,8960,35,430,90,Iron Armor Pokémon,140,1250000,60,200,0.9,Lairon,50,305,50,50,40,steel,rock,120,3,0,100,340
Hariyama,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,5120,70,474,200,Arm Thrust Pokémon,60,1640000,144,204,2.3,Hariyama,75.4,297,40,60,50,fighting,,253.8,3,0,100,354
Pansage,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,53,5120,70,316,190,Grass Monkey Pokémon,48,1000000,50,98,0.6,Pansage,88.1,511,53,48,64,grass,,10.5,5,0,101,263
Pansear,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,53,5120,70,316,190,High Temp Pokémon,48,1000000,50,98,0.6,Pansear,88.1,513,53,48,64,fire,,11,5,0,101,263
Panpour,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,53,5120,70,316,190,Spray Pokémon,48,1000000,50,98,0.6,Panpour,88.1,515,53,48,64,water,,13.5,5,0,101,263
Croagunk,0.25,0.5,1,1,1,0.5,1,2,1,0.5,2,1,1,0.5,4,0.5,1,1,61,2560,100,300,140,Toxic Mouth Pokémon,40,1000000,48,88,0.7,Croagunk,50,453,61,40,50,poison,fighting,23,4,0,101,239
Surskit,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,30,3840,70,269,200,Pond Skater Pokémon,32,1000000,40,72,0.5,Surskit,50,283,50,52,65,bug,water,1.7,3,0,102,239
Chimchar,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,58,5120,70,309,45,Chimp Pokémon,44,1059860,44,88,0.5,Chimchar,88.1,390,58,44,61,fire,,6.2,4,0,102,251
Trubbish,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,5120,70,329,190,Trash Bag Pokémon,62,1000000,50,112,0.6,Trubbish,50,568,40,62,65,poison,,31,5,0,102,279
Drifloon,0.25,2,1,2,1,0,1,1,2,0.5,0,2,0,0.5,1,2,1,1,50,7680,70,348,125,Balloon Pokémon,34,1640000,90,124,0.4,Drifloon,50,425,60,44,70,ghost,flying,1.2,4,0,104,298
Helioptile,1,1,1,0.5,1,2,1,0.5,0,1,2,1,1,1,1,1,0.5,1,38,5120,70,289,190,Generator Pokémon,33,1000000,44,77,0.5,Helioptile,50,694,61,43,70,electric,normal,6,6,0,104,251
Koffing,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,5120,70,340,190,Poison Gas Pokémon,95,1000000,40,135,0.6,Koffing,50,109,60,45,35,poison,,1,1,0,105,275
Togepi,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,20,2560,70,245,190,Spike Ball Pokémon,65,800000,35,100,0.3,Togepi,88.1,175,40,65,20,fairy,,1.5,2,0,105,225
Exeggcute,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,40,5120,70,325,90,Egg Pokémon,80,1250000,60,140,0.4,Exeggcute,50,102,60,45,40,grass,psychic,2.5,1,0,105,285
Shelmet,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,40,3840,70,305,200,Snail Pokémon,85,1000000,50,135,0.4,Shelmet,50,616,40,65,25,bug,,7.7,5,0,105,265
Luvdisc,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,30,5120,70,330,225,Rendezvous Pokémon,55,800000,43,98,0.6,Luvdisc,24.6,370,40,65,97,water,,8.7,3,0,105,300
Scraggy,1,0.25,1,1,4,2,1,2,0.5,1,1,1,1,1,0,0.5,1,1,75,3840,35,348,180,Shedding Pokémon,70,1000000,50,120,0.6,Scraggy,50,559,35,70,48,dark,fighting,11.8,5,0,105,273
Electrike,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,5120,70,295,120,Lightning Pokémon,40,1250000,40,80,0.6,Electrike,50,309,65,40,65,electric,,15.2,3,0,105,250
Mienfoo,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,85,6400,70,350,180,Martial Arts Pokémon,50,1059860,45,95,0.9,Mienfoo,50,619,55,50,65,fighting,,20,5,0,105,265
Klink,0.5,1,0.5,1,0.5,2,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,0.5,1,55,5120,70,300,130,Gear Pokémon,70,1059860,40,110,0.3,Klink,,599,45,60,30,steel,,21,5,0,105,245
Larvesta,0.5,1,1,1,0.5,0.5,1,2,1,0.25,1,0.5,1,1,1,4,0.5,2,85,10240,70,360,45,Torch Pokémon,55,1250000,55,110,1.1,Larvesta,50,636,50,55,60,bug,fire,28.8,5,0,105,275
Spheal,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,40,5120,70,290,255,Clap Pokémon,50,1059860,70,120,0.8,Spheal,50,363,55,50,25,ice,water,39.5,3,0,105,250
Sawk,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,125,5120,70,465,45,Karate Pokémon,75,1000000,75,150,1.4,Sawk,100,539,30,75,85,fighting,,51,5,0,105,340
Gabite,1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,90,10240,70,410,45,Cave Pokémon,65,1250000,68,133,1.4,Gabite,50,444,50,55,82,dragon,ground,56,4,0,105,320
Wailmer,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,10240,70,400,125,Ball Whale Pokémon,35,1640000,130,165,2,Wailmer,50,320,70,35,60,water,,130,3,0,105,330
Froakie,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,56,5120,70,314,45,Bubble Frog Pokémon,40,1059860,41,81,0.3,Froakie,88.1,656,62,44,71,water,,7,6,0,106,258
Kricketune,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,85,3840,70,384,45,Cricket Pokémon,51,1059860,77,128,1,Kricketune,50,402,55,51,65,bug,,25.5,4,0,106,299
Buzzwole,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,139,30720,0,570,25,Swollen Pokémon,139,1250000,107,246,2.4,Buzzwole,,794,53,53,79,bug,fighting,333.6,7,1,106,431
Joltik,1,1,1,0.5,1,0.5,2,1,1,0.5,1,1,1,1,1,2,0.5,1,47,5120,70,319,190,Attaching Pokémon,50,1000000,50,100,0.1,Joltik,50,595,57,50,65,bug,electric,0.6,5,0,107,272
Oshawott,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,55,5120,70,308,45,Sea Otter Pokémon,45,1059860,55,100,0.5,Oshawott,88.1,501,63,45,45,water,,5.9,5,0,108,253
Fletchinder,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,73,3840,70,382,120,Ember Pokémon,55,1059860,62,117,0.7,Fletchinder,50,662,56,52,84,fire,flying,16,6,0,108,309
Luxio,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,5120,100,363,120,Spark Pokémon,49,1059860,60,109,0.9,Luxio,50,404,60,49,60,electric,,30.5,4,0,109,278
Skiploom,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,5120,70,340,120,Cottonweed Pokémon,50,1059860,55,105,0.6,Skiploom,50,188,45,65,80,grass,flying,1,2,0,110,295
Foongus,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,55,5120,70,294,190,Mushroom Pokémon,45,1000000,69,114,0.2,Foongus,50,590,55,55,15,grass,poison,1,5,0,110,239
Qwilfish,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,95,5120,70,440,45,Balloon Pokémon,85,1000000,65,150,0.5,Qwilfish,50,211,55,55,85,water,poison,3.9,2,0,110,345
Eevee,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,8960,70,325,45,Evolution Pokémon,50,1000000,55,105,0.3,Eevee,88.1,133,45,65,55,normal,,6.5,1,0,110,270
Finneon,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,49,5120,70,330,190,Wing Fish Pokémon,56,600000,49,105,0.4,Finneon,50,456,49,61,66,water,,7,4,0,110,281
